Name,Forschungsfelder,Institut
Prof. Dr. Nihat Ay,Maschinenlernen,E-21
PD Dr. Brashant Batra,"Komplexe Analysis, Robuste Steuerung",-
Prof. Dr. Matthias Mnich,"Algorithmen, Datenstrukturen",E-11
Prof. Dr. Dieter Gollmann (em.),Software- und Netzwerksicherheit,E-15
Prof. Dr. Siegfried Rump (em.),"Zuverlässiges Rechnen, Programmierung",E-19
Prof. Dr. Riccardo Scandariato,"Sicherheit, Kryptographie",E-22
Prof. Dr. Karl-Heinz Zimmermann,"Algebra, Stochastische Systeme",E-13
Prof. Dr. Nihat Ay,Maschinenlernen,E-21
PD Dr. Brashant Batra,"Komplexe Analysis, Robuste Steuerung",-
Prof. Dr. Matthias Mnich,"Algorithmen, Datenstrukturen",E-11
Prof. Dr. Dieter Gollmann (em.),Software- und Netzwerksicherheit,E-15
Prof. Dr. Siegfried Rump (em.),"Zuverlässiges Rechnen, Programmierung",E-19
Prof. Dr. Riccardo Scandariato,"Sicherheit, Kryptographie",E-22
Prof. Dr. Karl-Heinz Zimmermann,"Algebra, Stochastische Systeme",E-13
Prof. Dr. Goerschwin Fey,"Computer Engineering, Maschinenlernen",E-13
Prof. Dr. Heiko Falk,"Eingebettete Systeme, Compilerbau",E-13
Prof. Dr. Sibylle Fröschle,Cyber-physikalische Systeme,E-15
Prof. Dr. Ulf Kulau,Smart Sensors,E-EXK3
Prof. Dr. Sohan Lal,Rechnerstrukturen,E-EXK5
Prof. Dr. Andreas Timm-Giel,"Kommunikationsnetze, Traffic Engineering",E-4
Prof. Dr. Sabine Le Borne,Numerische Mathematik,E-10
Prof. Dr. Daniel Ruprecht,Computational Mathematics,E-10
Prof. Dr. Marko Lindner,"Funktionalanalysis, Bildverarbeitung",E-10
Prof. Dr. Matthias Schulte,Statistik,E-10
Prof. Dr. Anusch Taraz,"Diskrete Strukturen, Kombinatorik",E-10
